решение на 1-м периоде;Decision in the 1st period;
решение линейного алгебраического уравнения;Solving a Linear Algebraic Equation;
решение дифф уравнения неявным методом;Solving the diff equation by the implicit method;
решение 2 и 3-й неизвестной для системы с предыдущего шага;Solving the 2nd and 3rd unknowns for the system from the previous step;
решение 1-й  неизвестной для системы с предыдущего шага;Solving the 1st unknown for the system from the previous step;
решение;Solution;
решатель agresim 2;Решатель Агресим 2;
решатель agresim 1;Solver Agresim 1;
релейных;relay;
релейный регулятор для сар ядерного реактора;Relay regulator for ACS of a nuclear reactor;
релейные блоки с зоной нечувствительности;Relay units with dead zone;
релейное с зоной нечувствительности;Relay with dead zone;
реле 2;Relay 2;
реле 1;Relay 1;
реле;relay;
результаты интерполяции;Interpolation results;
результаты;Results;
результат - первая или вторая или третья синусоида;The result is the first or second or third sinusoid;
результат - первая;Result - first;
рез;Res;
регулятора;regulator;
регулятор со скользящим режимом;Sliding mode controller;
регулятор с обратной связью по состоянию;Status feedback controller;
регулятор;regulator;
регулирования;regulation;
реакция жаботинского;Jabotinsky reaction;
реактивность общая;General reactivity;
реактивность вносимая;Reactivity introduced;
реактивности в долях β_эфф и относительные отклонения нейтронной мощности;Reactivities in fractions of β_eff and relative deviations of neutron power;
рвмнк;RVMNK;
расчёт;Calculation;
расчетный шаг;Calculation step;
расчет мер жесткости, колебательности;Calculation of measures of rigidity, oscillation;
расчет kp,ki;Calculation of Kp,Ki;
расчет;Calculation;
расхода;consumption;
расход через нижнюю трубу (уровень врезки = 0);Flow through the down pipe (tapping level = 0);
расход через верхнюю трубу (уровень врезки = 0.5);Flow through the top pipe (tapping level = 0.5);
расход пв в бс;PV consumption in BS;
расход пара из бс;Steam consumption from BS;
расход насоса;Pump flow;
расход outrate, м^3;Flow outrate, m^3;
рассогласование;Mismatch;
разница;Difference;
размерность задачи n;Problem dimension N;
работа;Work;
прыгающий мячик с очень мелким минимальным шагом;A bouncing ball with a very small minimum step;
прыгающий мячик с ограничением по скорости;Bouncing ball with speed limit;
прыгающий мячик с ещё одним способом стабилизации;Bouncing ball with another way of stabilization;
прыгающий мячик на интеграторах со сбросом с ограничением выхода интегратора на хорошем шаге;Bouncing ball on reset integrators with limited integrator output at good pitch;
прыгающий мячик на интеграторах со сбросом;Bouncing ball on integrators with reset;
прыгающий мячик на интеграторах без уточнения;Bouncing ball on integrators without specification;
прр аз;PRR AZ;
процессы;processes;
процессов для эталонной и;processes for reference and;
процесса;process;
противо-эдс;back-EMF;
пропорциональная составляющяя регулятора;Proportional component of the regulator;
пролонгированием;prolongation;
принадлежности;accessories;
пример6;Example6;
пример5;Example 5;
пример4;Example4;
пример3;Example 3;
пример2;Example2;
пример1;Example 1;
пример решения жёсткой системы;Example of a rigid system solution;
пример ненаправленных соединителей;Example of non-directional connectors;
пример модели со сбросом на непрерывных интеграторах;Example model with reset on continuous integrators;
пример модели со сбросом;Example model with reset;
пример множественного объединения портов 3;Multiple port trunking example 3;
пример множественного объединения портов 2;Multiple port trunking example 2;
пример множественного объединения портов 1;Multiple port trunking example 1;
пример дискретной модели со сбросом-загрузчик;Example of a discrete model with reset-bootloader;
пример дискретной модели со сбросом;Example of a discrete model with reset;
пример детекции событий;Event detection example;
пример двунаправленной топологии;Example of a bidirectional topology;
пример выборки нескольких элементов по номеру;Example of selecting several elements by number;
признак снижения ниже минимума;Sign of decline below minimum;
признак превышения максимума;Sign of exceeding the maximum;
привод;Drive;
при определении динамических характеристик оборудования).;when determining the dynamic characteristics of equipment).;
предиктор смита;Smith predictor;
пределах участка;within the site;
поток;stream;
построение частотных характеристик;Construction of frequency characteristics;
построение поверхности характеристик регулятора;Construction of the controller characteristics surface;
порты (input);Ports (input);
портрет;portrait;
полюсы замкнутой сау;Poles of a closed ACS;
полюсы;Poles;
положение;situation;
полиномом лагранжа;Lagrange polynomial;
позволяет осуществлять;allows for;
поверхность;Surface;
по фронту при превышении 0;along the front when exceeding 0;
по осям;along the axes;
по ограничениям массы на мосту и острове и;on weight restrictions on the bridge and island and;
по координате;by coordinates;
плотность потока, маш/с;Flow density, mash/s;
плотность потока, маш/м;Flow density, mash/m;
плоскость;plane;
пила, t0;Saw, T0;
пид-;PID-;
пид с изменяемыми параметрами;Variable PID;
пид регулятор;PID controller;
пид обычный;PID normal;
пид;PID;
пи-регулятор с;PI controller with;
пи;PI;
персчет оборотов;Recalculation of revolutions;
переходные характеристики стандартных моделей;Transient characteristics of standard models;
переходные процессы;Transients;
переходные;Transitional;
переходной процесс;Transition process;
переходного;transitional;
переходная характеристика;Step response;
пересечений;intersections;
переменных;variables;
переключатель;switch;
перекидной;reversible;
передаточная;Transmission;
передаточна функция;transfer function;
переболевших;recovered;
пд;PD;
параметры системы;System parameters;
параметры проекта;Project Options;
параметров звена;link parameters;
параметров;parameters;
параметр 3;Parameter 3;
параметр 2;Parameter 2;
параметр 1;Parameter 1;
параболы нейля;Neill's parabolas;
память;Memory;
ошибка;Error;
очередь;Queue;
относительное отклонение нейтронной мощности;Relative deviation of neutron power;
отк;Rev;
от 0 до 4000;from 0 to 4000;
от 0 до 300;from 0 to 300;
остров;An island;
основной метод;Basic method;
осн;Basic;
оптимизиационная модель для подбора коэффициентов распространения;Optimization model for selecting propagation coefficients;
опиание параметров шим;Description of PWM parameters;
оператор;Operator;
односторонним движением по мосту;one way traffic on the bridge;
одномерная интерполяция;One-dimensional interpolation;
одновибратора;monostable;
ограничением;limitation;
ограничение;Limitation;
объем бака;tank volume;
объекта;object;
объект управления;Control object;
объект с астатизмом 1-го порядка;Object with 1st order astatism;
объект с астатизмом 0-го порядка;Object with 0th order astatism;
объект;Object;
общий массив;general array;
обратного тока;reverse current;
обратная;Reverse;
обр.модель;Model;
о примере;About the example;
о количестве кластеров;about the number of clusters;
о задаче;About the task;
номера столбцов задаваемых коэффициентов;Column numbers of specified coefficients;
номер итерации;Iteration number;
номер;number;
нозе-гувера;Hoover's legs;
новое состояние;New condition;
нижняя парабола;Lower parabola;
нижняя граница зоны возврата;Lower limit of the return zone;
нижняя граница;Lower limit;
нечёткая кластеризация;Fuzzy clustering;
нечеткий;Fuzzy;
нефроида;Nephroid;
несколько ключей;Multiple keys;
несимм.;I don't have it.;
неравномерности;unevenness;
непрерывный следящий привод с дпт;Continuous servo drive with DPT;
ненаправленное;Non-directional;
нейтронов;neutrons;
невязка решения;Solution residual;
начало в м2;Start in M2;
начало в м1;Start at M1;
натуральный;Natural;
насыщением;saturation;
настройку параметров решателя в случае, если в свойстве;setting the solver parameters if in the property;
настройки решателя системы уравнений;System of Equation Solver Settings;
настройка параметров регулятора;Setting up controller parameters;
настройка;Setup;
настраиваемая система;Customizable system;
настраеваемая система;Customizable system;
найквиста;Nyquist;
на период;of period;
на основе переходной функции (может использоваться например;based on the transition function (can be used for example;
на основе нечеткой логики;based on fuzzy logic;
на интервале [0, 4];on intervals [0, 4];
на выезд;On departure;
на въезд;for entry;
на 2-м периоде;at period 2;
на 1-м периоде;at period 1;
мощности;power;
мост;Bridge;
момент нагрузки;load moment;
момент на валу;Shaft moment;
модель с апериодиками с нелинейностями;Model with aperiodics and nonlinearities;
модель решения разреженной слау;Model for solving a sparse SLAE;
модель оу;Op-amp model;
модель кольцевого модулятора в уравнениях;Ring modulator model in Eqs.;
модель интеграторов со сбросом с условием сброса;Model of reset integrators with reset condition;
модель идентификации;Identification model;
модель идентификатора системы;System ID Model;
модель дискретных интеграторов со сбросом;Model of discrete integrators with reset;
модель движения потока машин;Traffic flow model;
модель грузопотока на остров с регулированием;Model of cargo flow to the island with regulation;
модель архитектуры контроллера;Controller architecture model;
моделирование редуктора;Gearbox simulation;
моделирование дпт;DBT modeling;
мну;To me;
множественное соединение для блоков в память и из памяти;Multiple connections for blocks to and from memory;
множественное соединение - с фиксированными именами;Multiple join - with fixed names;
многомерная интерполяция в скрипте;Multidimensional interpolation in a script;
мн;MN;
мк;Mk;
мж, мк, мну;Mf, Mk, Mnu;
мж;Mzh;
механизм эндрюса;Mechanism Andrewsa;
метод гира + итерация бройдена;Gira method + Broyden iteration;
метод гира;The Gira Method;
метод вывода;output method;
меры задачи коши;Measures of the Cauchy problem;
меры жесткости, колебательности, неустойчивости;Measures of rigidity, oscillation, instability;
меандры;Meanders;
мв;MV;
машин/м;cars/m;
матье;Mathieu;
матрица коэффициентов;Coefficient matrix;
масса, т;Weight, t;
масса перед светофором на въезде и выезде;Weight in front of the traffic lights at the entrance and exit;
масса на острове;Mass on the island;
масса на мосту;Mass on the bridge;
масса на выезде;Away mass;
масса на въезде;Entry weight;
масса 2;Mass 2;
масса 1;Mass 1;
м/с;m/s;
люфт и упруг.;backlash and elasticity.;
локально-неустойчивая задача;Locally unstable problem;
локально-неустойчивая;Locally unstable;
логическая коньюнкция;logical conjunction;
логарифмы с защитой 0;Logarithms with protection 0;
логарифмическая спираль;Logarithmic spiral;
линейное уравнение;Linear equation;
линейное звено с переменным ограничением;Linear link with variable limit;
линейновая;Linear;
линейная и сплайновая интерполяция;Linear and spline interpolation;
лачх и фчх;LFC and FFC;
лачх;LACHH;
лагорифмы с защитой от нуля;Zero-protected logarithms;
лагорифмы с;Lagorithms with;
кусочно-постоянная функция;Piecewise constant function;
куб. сплайнами;Cube. splines;
ку=0.00001;Ku=0.00001;
кс=0.05;Ks=0.05;
коэффициентов;coefficients;
коэффициент 2;Factor 2;
коэффициент 1;Factor 1;
коэффициент;coefficient;
кохлеоида;Cochleoid;
коррекция;Correction;
корректирующих устройств;corrective devices;
корни нормальных полиномов;Roots of normal polynomials;
корни геометрических полиномов;Roots of geometric polynomials;
координаты по осям;Axial coordinates;
координаты;Coordinates;
координата, y(t);The coordinate, y(t);
координата;Coordinate;
координат;coordinates;
коньюнкция умножением;Conjunction by multiplication;
коньюнкция минимум;Conjunction minimum;
конец цикла;End of the cycle;
команда сброса;Reset command;
команда;Team;
количество машин, шт;Number of cars, pcs;
количество задаваемых строк (2);Number of specified lines (2);
количество задаваемых строк (1);Number of specified lines (1);
кн;KN;
ключ ручной;Manual key;
клотоида;Clotoid;
кластеризация при отсутствии информации;Clustering in the absence of information;
кластеризация при отсутсвии;Clustering in the absence;
кластеризация при наличии информации;Clustering when information is available;
кластеризация при наличии;Clustering if available;
клапана;valve;
кинетика;Kinetics;
квантования;quantization;
квантование;Quantization;
кв;HF;
кi;Who;
кd;Kd;
к=1/n ред.;k=1/n ed.;
к=1;K=1;
к=;K=;
к-т приведения момента от нагрузки;torque reduction torque from load;
к мотору;k engine;
к;TO;
итерациям;iterations;
итерации;iterations;
испытательный;Test;
использование локальных переносов;Using local transfers;
информации о кличестве кластеров;information about the number of clusters;
инфицированных;infected;
интерполяция куб.сплайнами;Interpolation by cubic splines;
интерполяций;interpolations;
интерполяции;interpolation;
интерполированное значение 2;Interpolated value 2;
интерполированное значение 1;Interpolated value 1;
интерполированное значение;Interpolated value;
интерполированное;Interpolated;
интегрирования;integration;
интеграторы со сбросом и ограничением на неявном методе;Integrators with reset and limitation on an implicit method;
интеграторов в схеме.;integrators in the circuit.;
интегратор с ограничением и сбросом;Integrator with limit and reset;
интегратор с;Integrator with;
интегральная составляющяя регулятора;Integral component of the regulator;
инженер: ходаковский в.в.;Engineer: Khodakovsky V.V.;
импульсов;impulses;
импульсный сигнал ошибки;Pulse error signal;
импульсный;Pulse;
импульс с;Impulse with;
импульс длительности не более заданной;Pulse duration no more than specified;
имитация;Imitation;
или третья;or third;
или вторая;or second;
иизменение коэффициентов усиления;Changing Gains;
измерения;measurements;
изменения;changes;
изменение параметров фазификации в ходе моделирования;Changing phasing parameters during simulation;
изменение параметров;Changing settings;
изменение коэффициентов усиления;Changing Gains;
изменение коэффициентов регулятора;Changing controller coefficients;
изменение;Change;
идентифицируемое;Identifiable;
идеальное запаздывание аппроксимированное рядом паде;Ideal delay approximated by Padé series;
идеальное;perfect;
и сплайновая;and spline;
и сбросом;and reset;
и неустойчивости на примере задачи vdpol;and instability using the example of the VDPOL problem;
и насыщенного входного сигнала;and saturated input signal;
и настройки данного блока не окажут влияния на расчёт.;and the settings of this block will not affect the calculation.;
и её распаковка по строкам;and unpacking it line by line;
значения координат по осям;Axis coordinate values;
значение функции по итерациям;Function value over iterations;
значение текущего времени переноса субстанции через участок;The value of the current time of transfer of the substance through the area;
значение текущего;Current value;
значение сигнала, x1;Signal value, x1;
значение сигнала;Signal value;
значение переходного процесса, y(x);Transient value, y(x);
значение на выходе из участок транспортировки;Value at the exit from the transportation section;
значение на входе в участок транспортировки;Value at the entrance to the transportation section;
значение величины, y(t);Value of quantity, y(t);
значение величины;Value value;
значение велечины;Value value;
значение аргумента;Argument value;
значение y(t);Value y(t);
значение x2(t);x2(t) value;
значение x1(t);x1(t) value;
значение u(t);Meaning u(t);
значение cos(x);cos(x) value;
значаение величины;Value value;
звено;unit;
защитой от нуля;zero protection;
запоминание;Memorization;
заполненный;Filled;
запас по фазе, град.;Record by phase, city.;
запас по фазе;Phase margin;
запаздывание на период квантования;Delay by quantization period;
запаздывание идеальное;Lag is perfect;
запаздывание;Lag;
задержка на период квантования и экстраполятор;Quantization period delay and extrapolator;
задаёт целевую;sets the target;
задаче прыгающего мячика.;bouncing ball problem.;
задаче прыгающего мячика;bouncing ball problem;
задача о 100 узниках и 100 ящиках;Problem of 100 prisoners and 100 boxes;
задача двух осциллирующих масс с;Problem of two oscillating masses with;
задача аренсторфа;Arenstorff problem;
задача vdpol;VDPOL task;
задача simdif;SimDif task;
задача rober;ROBER task;
задача plate;PLATE task;
задача pendulum (маятник);Pendulum problem (pendulum);
задача orego;OREGO task;
задача hires;HIRES task;
задача cusp;CUSP task;
задача burgers;Burgers task;
задача bruss;BRUSS task;
задача beam;BEAM task;
задатчик;Tasker;
заданое значение;Set value;
задано нижнее ограничение 0 по координате;the lower limit is set to 0 along the coordinate;
заданное;given;
задание 2 и 3-й строки системы;Setting the 2nd and 3rd lines of the system;
задание 1-й строки системы;Setting the 1st line of the system;
задание;exercise;
загрузчик dll;DLL Loader;
загрузчик;Loader;
зависимость d1 от k1;Dependence of D1 on k1;
жесткий осциллятор;Hard Oscillator;
жесткая задача, сложная;Tough task, difficult;
если на схеме стоит данный блок,;If this block is on the diagram,;
если на схеме стоит блок;if there is a block on the diagram;
дпт выход 2;DPT Output 2;
дпт выход 1;DPT Output 1;
дпт;DPT;
доступ к 3 битам вектора по 3-битному ключу;Access 3 bits of a vector using a 3-bit key;
дополниительной детекцией пересечений;additional intersection detection;
для решения неявными методами;for solving by implicit methods;
для корректного детектирования;For correct detection;
для блока шим;for the PWM block;
длина l = 1000;Length L = 1000;
диференциальная составляющяя регулятора;Differential component of the regulator;
дискретный сигнал;Discrete signal;
дискретный пид-регулятор с компенсацией эффекта насыщения;Discrete PID controller with saturation compensation;
дискретный пид регулятор;Discrete PID controller;
дискретный;discrete;
дискретная передаточная ф-я;Discrete transmission function;
дискретная передаточна функция;Discrete transfer function;
дискретная задержка и экстраполятор;Discrete delay and extrapolator;
дискретная;Discrete;
дис;DIS;
динамическая выборка подвектора из общего вектора;Dynamic sampling of a subvector from a common vector;
детекция событий при помощи блока;Event detection using a block;
детекция;Detection;
детекции пересечений, без ограничений;intersection detection, no restrictions;
детектировать 2 события:;detect 2 events:;
десятичный;Decimal;
дельтоид;Deltoid;
двумерная линейная интерполяция в скрипте;2D linear interpolation in script;
двумерная линейная интерполяция;2D linear interpolation;
двигатель пт;PT motor;
дб;db;
данный метод решения позволяет задавать коэффициенты системы с разных точек схемы.;This solution method allows you to set system coefficients from different points of the circuit.;
графики уровня воды в баке;Tank water level charts;
графики уровня;Level charts;
графики работы блока;Block operating schedules;
графики работы;Opening hours;
графики плотности потока и скорости на участке трассы;Graphs of flow density and speed along the route section;
графики плотности потока и скорости на светофорном участке;Graphs of flow density and speed at a traffic light section;
графики переходного;Transition charts;
графики переменных;Variable graphs;
графики выходных сигналов;Output graphs;
графики выходного сигнала регулятора;Regulator output signal graphs;
графики выходного сигнала;Output graphs;
графики в.с. регулятора с компенсацией;Graphs V.S. regulator with compensation;
графики в.с. регулятора без компенсации;Graphs V.S. regulator without compensation;
графики x1(t) и x4(t);Graphs x1(t) and x4(t);
графики;Charts;
график целевого уровня воды;Target water level chart;
график фактического уровня воды;Actual water level graph;
график уровня воды в баке;Tank water level chart;
график уровня;Level chart;
график сигналов;Signal chart;
график расхода обратного тока;Reverse current consumption graph;
график расхода;Consumption schedule;
график производной на участке идентификации;Graph of the derivative on the identification section;
график переходного процесса;Transition graph;
график задающего сигнала субмодели;Submodel driving signal graph;
график дельтоида;Deltoid graph;
график выходных значений регуляторов;Graph of regulator output values;
график выходного сигнала;Output graph;
график y(t),g(t);Graph y(t),g(t);
график u(x);graph of u(x);
график q(t), рад.;Graph q(t), rad.;
график q;Graph q;
график g(t), y(t);Graph g(t), y(t);
график eps(t), рад.;Graph eps(t), rad.;
график 99;Schedule 99;
график 98;Schedule 98;
график 97;Schedule 97;
график 96;Schedule 96;
график 95;Schedule 95;
график 94;Schedule 94;
график 93;Schedule 93;
график 92;Schedule 92;
график 91;Schedule 91;
график 90;Schedule 90;
график 9;Schedule 9;
график 89;Schedule 89;
график 88;Schedule 88;
график 87;Schedule 87;
график 86;Schedule 86;
график 85;Schedule 85;
график 84;Schedule 84;
график 83;Schedule 83;
график 82;Schedule 82;
график 81;Schedule 81;
график 80;Schedule 80;
график 8;Schedule 8;
график 79;Schedule 79;
график 78;Schedule 78;
график 77;Schedule 77;
график 76;Schedule 76;
график 75;Schedule 75;
график 74;Schedule 74;
график 73;Schedule 73;
график 72;Schedule 72;
график 71;Schedule 71;
график 70;Schedule 70;
график 7;Schedule 7;
график 69;Schedule 69;
график 68;Schedule 68;
график 67;Schedule 67;
график 66;Schedule 66;
график 65;Schedule 65;
график 64;Schedule 64;
график 63;Schedule 63;
график 62;Schedule 62;
график 61;Schedule 61;
график 60;Schedule 60;
график 6;Schedule 6;
график 59;Schedule 59;
график 58;Schedule 58;
график 57;Schedule 57;
график 56;Schedule 56;
график 55;Schedule 55;
график 54;Schedule 54;
график 53;Schedule 53;
график 52;Schedule 52;
график 51;Schedule 51;
график 50;Schedule 50;
график 5;Schedule 5;
график 49;Schedule 49;
график 48;Schedule 48;
