источники;Sources;来源
релейное минус с переменными зн и зв;Relay minus with variables ZN and ZV;带变量 ZN 和 ZV 的负继电器
сигнал больше уставки;Signal greater than setpoint;信号大于设定值
сигнал меньше уставки;Signal less than setpoint;信号小于设定值
уточнение разрыва;Clarifying the gap;澄清差距
пор икп (порог срабатывания);POR ICP (Threshold);POR ICP（阈值）
нор икп;NOR ICP;北ICP
гистерезис входного сигнала;Input hysteresis;输入迟滞
мертвая зона (изменяемая);Dead zone (variable;死区（可变
фзн (формирование зоны нечувствительности);FZN (formation of the dead zone);FZN（死区的形成）
импульсное открытие/закрытие;Pulse opening / closing;脉冲开/关
запоминание сигнала;Signal Memorizatio;信号记忆
линейное с переменным ограничением;Linear with variable constrain;具有可变约束的线性
ломаная статическая характеристика;Linear interpolation;线性插值
многомерная интерполяция;Multidimensional interpolation;多维插值
из таблицы;From the table;从表中
двумерная таблица из файл;Two-dimensional table from a file;文件中的二维表
мнк-аппроксимация;OLS Approximation;最小二乘法近似
язык программирования;Programming language;编程语言
интегратор;Integrator;积分器
инерционное звено 1-го порядка;Inertial link of the 1st order;一阶惯性连杆
переменные состояния;State variables;状态变量
колебательное звено;Vibrational lin;振动林
идеальное транспортное запаздывание;Ideal transport lag;理想的传输延迟
передаточная функция общего вида;A general transfer functio;一般传递函数
инерционно-дифференцирующее звено;Inertial-differentiating link;惯性微分连杆
производная;Derivative;衍生物
инерционно-форсирующее звено;Inertia-boosting link;惯性增强连杆
инерционно-интегрирующее звено;Inertial-integrating link;惯性积分连杆
функционал квадратичный;Functional quadratic;函数二次
интегратор с ограничением;Integrator with restriction;有限制的积分器
интегратор с изменяемыми н.у.;Integrator with variable nos.;具有变量数量的积分器
интегратор с ограничением и сбросом н.;Integrator with restriction and reset.;具有限制和重置功能的积分器。
круговой интегратор;Circular integrato;圆形综合体
переменное транспортное запаздывание;Variable transport dela;可变传输延迟
аналитическая апериодика 1-го порядка;Analytical aperiodics of the first orde;一阶解析非周期性
дискретная апериодика 1-го порядк;Discrete aperiodics of the first order;一阶离散非周期性
интегратор на усилителях;The amplifier integrator;放大器积分器
диф-производная;DIF-Derivative;DIF-导数
фильтрация сигнала;Signal filtering;信号过滤
кнопка;Button;按钮
ключ ручной управляемый;Hand operated key;手动钥匙
ключ ручной перекидной;Manual override key;手动超控键
ключ-0;Key-0;键-0
ключ-1;Key-1;钥匙1
ключ-2;Key-2;钥匙2
ключ-3;Key-3;钥匙3
ключ-4(t);Key-4 (t);Key-4（t）
ключ-5(t);Key-5 (t);Key-5（t）
ключ-6(t);Key-6 (t);Key-6（t）
ключ-7(t);Key-7 (t;Key-7（t
ключ управляемый нормально разомкнутый тип;Key operated normally open type;钥匙操作常开型
ключ управляемый нормально замкнутый тип;Key operated normally closed type;钥匙操作常闭型
ключ управляемый перекидной по входам тип;Key operated by a changeover type 1;由转换类型 1 操作的钥匙
ключ интегратора;Integrator's key;积分器的钥匙
коммутатор входных сигналов;Switch input signals;开关量输入信号
запись по условию;Recording by conditio;按条件记录
выделение минимума с формированием признака;Isolation of the minimum with the formation of a sig;通过形成 sig 来隔离最小值
выделение максимума с формированием признака;Highlighting with the formation of a sign;通过形成标志来突出显示
задатчик с варьируемым значение;The ramp-function generator with variable value;可变值斜坡函数发生器
оператор и;The AND operator;AND 运算符
оператор или;The OR operator;或运算符
оператор не;The NOT operator;NOT 运算符
логические операции;Logical operations;逻辑运算
операция больше;Operation MORE;运营更多
операция меньше;Operation LESS;少操作
операция равно;Operation EQUAL;等于运算
операция не равно;The operation is NOT EQUAL;运算不等于
больше или равно;More or equal;大于或等于
меньше или равно;Less or equal;小于或等于
m из n;M of N;N 中的 M
m из n поэлементное;M of N element-wise;N 个元素中的 M
один из многих;One of many;其中之一
один из многих по выбору;One of many by choice;众多选择之一
счётчик;Counter;柜台
векторное и;Vector And;矢量和
векторное или;Vector OR;向量或
логическое и с пассивным входом;Logical AND with passive input;带被动输入的逻辑与
целочисленные операции;Integer operations;整数运算
упаковка битов;Packing bits;填料位
распаковка битов;Unpacking bits;拆包位
побитовое целочисленное не;Bitwise integer NO;按位整数 NO
rs-триггер с приоритетом по сбросу;RS flip-flop with reset priorit;具有复位优先级的 RS 触发器
rs-триггер с приоритетом по установк;RS-flip-flop with priority on installation;RS触发器优先安装
триггер t;Trigger T;触发T
триггер tr;Trigger TR;触发TR
триггер ts;Trigger TS;触发TS
определение первого события;Definition of the first event;第一个事件的定义
задержка по включению;Delay on inclusio;延迟包含
задержка по включению и выключению;Delay on power on and off;延迟开机和关机
задержка по выключению;Delay on shutdown;延迟关闭
импульс по фронту;Impulse along the front;沿着前面的冲动
импульс по срезу;Impulse cut;脉冲切割
импульс по фронту или срезу;Impulse along the front or cut;沿着前面冲或切
импульс;Puls;脉冲
импульс длительностью не более заданно;Impulse of no more than a specified duration;不超过指定持续时间的脉冲
импульс с пролонгированием;Impulse with prolongation;脉冲与延长
временное подтверждение;Temporary confirmation;暂时确认
одновибратор;Univibrato;单振
карта состояний конечного автомата;State machine map;状态机图
состояние автомата;Machine state;机器状态
вход состояния;State input;状态输入
выход состояния;Status output;状态输出
выдержка состояния;State Exposure;状态暴露
переменная выдержка состояния;Variable state retention;可变状态保留
обмотка реле;Relay winding;继电器绕组
двухпозиционное реле (set);Two-position relay (SET);两位继电器（SET）
двухпозиционное реле (reset);Two-position relay (RESET);两位继电器（复位）
двухпозиционное реле (rs);Two-position relay (RS);两位继电器 (RS)
замыкающий контакт реле;Closing relay contact;闭合继电器触点
размыкающий контакт реле;Relay contact;继电器触点
переключающий контакт реле;Relay switching contact;继电器开关触点
замыкающий контакт реле с задержкой по замыкани;Closing relay contact with delayed closing;关闭继电器触点并延迟关闭
замыкающий контакт реле с задержкой по размыкани;Closing relay contact with delayed opening;关闭继电器触点并延迟打开
размыкающий контакт реле с задержкой по замыкани;Closing relay contact with delayed closing;关闭继电器触点并延迟关闭
размыкающий контакт реле с задержкой по размыкани;Trip relay contact with opening delay;带断开延迟的跳闸继电器触点
внешний контакт реле;External relay contact;外部继电器触点
внешний размыкающий контакт реле;External relay contac;外部继电器触点
запаздывание на период квантовани;Delay for the quantization period;量化周期延迟
экстраполятор;Extrapolator;外推器
дискретный интегратор;Discrete Integrato;离散集成
дискретная передаточная ф-я общего вид;Discrete transfer function of general for;一般的离散传递函数
дискретная передаточная ф-я обратного аргумента;Discrete transfer function of the inverse argument;逆参数的离散传递函数
дискретные переменные состояния;Discrete State Variables;离散状态变量
дискретная производная;The Discrete Derivative;离散导数
разность нулевого порядка;The difference of zero order;零阶的区别
дискретный пид-регулятор;Discrete PID controlle;离散PID控制
дискретная передаточная функция от непрерывных коэффициентов;The discrete transfer function of continuous coefficients;连续系数的离散传递函数
среднее арифметическое;Average;平均的
несмещённая оценка дисперсии;Unbiased estimation of variance;方差的无偏估计
коэффициент эксцесса;Kurtosis coefficient;峭度系数
фактор сплющиваемости;Factor of flattening;扁平化系数
коэффициент корреляции;Correlation coefficient;相关系数
гистограмма распределения;Distribution histogram;分布直方图
спектральная плотность;The spectral density;谱密度
взаимная спектральная плотность;The mutual spectral density;互谱密度
функция взаимной корреляции;Cross-correlation functio;互相关函数
буфер последовательного ввода данных;Serial Data Entry Buffe;串行数据输入缓冲区
буфер последовательного вывода данных;Serial Output Buffer;串行输出缓冲器
быстрое преобразование фурье;Fast Fourier transfor;快速傅立叶变换
обратное быстрое преобразование фурье;Inverse fast Fourier transform;快速傅里叶逆变换
фильтр fft;Filter FFT;滤波器快速傅里叶变换
модуль комплексной пары;The complex pair module;复杂对模块
цифровой фильтр;Digital filter;数字滤波器
цифровой биквадратный фильтр;Digital biquad filte;数字双二阶滤波器
дискретно косинусное преобразование;Discretely cosine transfor;离散余弦变换
обратное дискретно-косинусное преобразовани;The inverse discrete cosine transform;离散余弦逆变换
дискретный фильтр калмана;The Kalman Discrete Filter;卡尔曼离散滤波器
точечная кинетика;Point kinetic;点动力学
точечная кинетика (модель мгновенного скачка);Point kinetics (instantaneous jump model;点动力学（瞬时跳跃模型
остаточное энерговыделение (по ansi;Residual energy release (according to ANSI);剩余能量释放（根据 ANSI）
свойства воды и пара;Properties of water and stea;水和蒸汽的性质
свойства воды и пара на линии насыщения;Properties of water and steam on the saturation line;水和蒸汽在饱和线上的性质
свойства воды : ts = f(ps);Water properties: Ts = f (Ps);水性质：Ts=f(Ps)
свойства воды : ps = f(ts);Water properties: Ps = f (Ts);水性质：Ps=f(Ts)
номер линейного уравнени;The number of the linear equation;线性方程的个数
коэффициенты линейного уравнени;Coefficients of the linear equation;线性方程的系数
результаты слау;Results of SLA;SLA 结果
настройки решателя системы уравнени;Solver of the system of equations;方程组求解器
внешняя dll;External DLL;外部DLL
самогенерирующийся блок;Self-generating unit;自发电装置
интеграция с раснар;Integration with RASNAR;与 RASNAR 集成
интеграция с tpp;Integration with TPP;与 TPP 整合
интеграция с euler;Integration with EULER;与欧拉集成
интеграция с universal mechanis;Integration with Universal Mechanism;与通用机构集成
интеграция с thermogte;Integration with ThermoGTE;与 ThermoGTE 集成
модель fmi;Model FMI;FMI 模型
ioso оптимизатор;IOSO optimizer;IISO优化器
импорт данных из файла обмен;Importing data from an exchange file;从交换文件导入数据
экспорт данных в файл обмен;Exporting data to an exchange fil;将数据导出到交换文件
экспорт ненулевых данных в файл обмен;Exporting non-zero data to an exchange file;将非零数据导出到交换文件
сервер tcp-ip;TCP-IP Server;TCP-IP服务器
клиент tcp-ip;TCP-IP client;TCP-IP客户端
сервер udp;UDP Server;UDP服务器
клиент udp;UDP Client;UDP客户端
удалённый прибор;Remote device;远程设备
джойстик;Joystick;操纵杆
клиент opc;OPC Client;OPC客户端
rs - асинхронный обмен;RS - Asynchronous Exchange;RS - 异步交换
modbus slave - интерфейс к базе сигнало;Modbus Slave - Interface to the signal base;Modbus Slave - 信号基座接口
узлы;Nodes;节点
базовые элементы;Basic Element;基本要素
измерители и управляющие устройства;Meters and control devices;仪表和控制装置
силовая электроника;Power electronics;电力电子
трансформаторы;Transformers;变形金刚
вращающиеся машины;Rotating machines;旋转机器
преобразование координат;Coordinate transformation;坐标变换
структуры;Structures;结构
измерители и датчики;Meters and sensors;仪表和传感器
коммутационное эо;Switching devices;开关设备
преобразователи;Converters;转换器
линии и нагрузка;Lines and loads;线路和负载
релейные защиты и автоматика;Relay protection and automatio;继电保护及自动化
нл - фазификация функциями гаусс;FL - Phasing with Gaussian function;FL - 使用高斯函数定相
нл - фазификация треугольными функциям;FL - Phasing of triangular function;FL - 三角函数的定相
нл - фазификация трапециевидными функциям;FL - Phasification by trapezoidal functions;FL - 通过梯形函数进行相化
нл - нечёткая импликация;FL - Fuzzy Implication;FL - 模糊蕴涵
нл - нечёткое и (конъюнкция);FL - Fuzzy AND (conjunction);FL - 模糊 AND（连词）
нл - нечёткое или (дизъюнкция);FL - Fuzzy OR (disjunction);FL - 模糊 OR（析取）
нл - нечёткое нет (отрицание);FL - Fuzzy NO (negation;FL - 模糊 NO（否定
нл - нечёткий вывод универсальный;FL - Fuzzy inference universa;FL - 通用模糊推理
нл - нечёткий вывод точечными множествами (алгоритм цукамото);FL - Fuzzy derivation by point sets (Tsukamoto algorithm);FL - 通过点集进行模糊推导（Tsukamoto 算法）
каналы;Channels;渠道
арматура;Armature;衔铁
элементы турбонасосных агрегатов;Elements of turbo-pump units;涡轮泵机组的元件
баки;Tanks;坦克
теплообмен;Heat exchange;热交换
контроль p в узле;Control P in the node;控制节点中的P
контроль p, l в баке;Control P, L in the tank;控制罐内P、L
контроль p, h, t в узле;Monitoring P, H, T in the node;监控节点中的P、H、T
контроль g в канале;Control G in the channe;在通道中控制G
контроль степени открытия задвижк;Control of the degree of opening of the valve;阀门开度的控制
контроль n и dp насоса;Control of pump n and dP;泵 n 和 dP 的控制
контроль высотной отметки узл;Controlling the elevation of the node;控制节点的高程
датчик давления в узле;Pressure sensor in the unit;装置内的压力传感器
датчик температуры в узле;Temperature sensor in the unit;装置内的温度传感器
датчик давления в ко;Pressure sensor in tank;罐内压力传感器
датчик температуры пара в ко;Steam temperature sensor in tank;罐内蒸汽温度传感器
датчик уровня в ко;Level sensor in the tan;棕褐色液位传感器
датчик массового расхода в канале;Mass flow sensor in the channe;通道中的质量流量传感器
датчик частоты вращения ротора трр;Rotor speed sensor TPP;转子速度传感器TPP
датчик мощности в трр;Power sensor in TP;TP 中的功率传感器
параметры узла трр для тепловой схемы;Parameters of the TPP node for the thermal circui;热回路TPP节点参数
параметры канала трр для тепловой схем;TPP channel parameters for the thermal schem;热方案的 TPP 通道参数
параметры ко трр для тепловой схемы;KO TPP parameters for the thermal circuit;KO TPP 热回路参数
граничные условия;Border conditions;边境条件
маска теплообменника 1;Heat exchanger mask 1;热交换器面罩1
маска теплообменника 2;Mask heat exchanger 2;面罩热交换器2
маска теплообменника 3;Heat exchanger mask 3;热交换器面罩3
маска теплообменника 4;Heat exchanger mask 4;热交换器面罩4
маска теплообменника 5;Heat exchanger mask 5;热交换器面罩5
маска теплообменника 6;Heat exchanger mask 6;热交换器面罩6
маска теплообменника 7;Heat exchanger mask 7;热交换器面罩7
маска фильтра;Filter Mask;过滤面罩
расходомерная шайба;Flow washer;流动清洗机
ограничитель расхода;Flow limiter;限流器
пересечение трубопроводов;Crossing of pipelines;管道穿越
изменение диаметра;Changing the diameter;改变直径
маска конденсатора 1;Mask of the capacitor 1;电容器1的掩模
маска цвд 1;Mask CVP 1;面罩 CVP 1
маска цнд 1;Mask of CND 1;CND 1 的掩码
маска турбины 1;Mask of the turbine 1;涡轮面具1
маска турбины 2;Mask of the turbine 2;涡轮面具2
маска электрогенератора 1;Mask power generator 1;面罩发电机1台
стенки и тепловые структуры;Walls and thermal structures;墙壁和热结构
турбонасосное оборудование;Turbopump equipment;涡轮泵设备
общий;General information;一般信息
в узле;In the node;在节点中
в канале;In the channel;在频道里
для тепловых структур;For thermal structures;对于热结构
в баке;In the tank;在坦克里
для арматуры;For fittings;配件用
для турбонасосных агрегатов;For turbo-pump units;对于涡轮泵机组
hs - отладочная информация;HS - Debug information;HS——调试信息
hs - свойства теплоносителя;HS - Coolant properties;HS - 冷却液特性
hs - датчик в канале;HS - Sensor in the channel;HS - 通道中的传感器
hs - датчик в узле;HS - Sensor in the node;HS - 节点中的传感器
hs - датчики в узле;HS - Sensors in the nod;HS - 点头传感器
hs - датчик t стенки на внутр. границ;HS - Wall sensor T on the inside. boundary;HS - 壁式传感器 T 位于内部。边界
hs - датчик средней темп. оболочки твэл;HS - Medium temp. Sensor. fuel rod cladding;HS——中等温度。传感器。燃料棒包壳
hs - датчик средней темп. топлив;HS - Medium temp. Sensor. of fuel;HS——中等温度。传感器。燃料的
hs - датчик средней темп. теплоносителя в канале;HS - Medium temp. Sensor. coolant in the channe;HS——中等温度。传感器。通道内的冷却剂
hs - визуализация поля температу;HS - Visualization of the temperature fiel;HS - 温度场可视化
hs - визуализация параметров в канал;HS - Visualization of parameters in the channel;HS - 通道中参数的可视化
hs - маска электрогенератора;HS - Mask of the generator;HS - 发生器的掩码
hs - ограничитель расхода;HS - Flow limiter;HS——流量限制器
hs - пересечение трубопроводов;HS - Crossing of pipelines;HS - 管道穿越
hs - изменение диаметра;HS - Diameter change;HS——直径变化
hs - маска конденсатора;HS - Mask of the condenser;HS——冷凝器面罩
hs - маска теплообменника;HS - Heat Exchanger Mask;HS - 热交换器面罩
hs - маска 1 цвд;HS - Mask 1 CVP;HS - 面罩 1 CVP
hs - маска 1 цнд;HS - Mask 1 CNC;HS - 掩模 1 CNC
hs - маска турбины тип 1;HS - Turbine mask type 1;HS - 涡轮面罩类型 1
hs - маска турбины тип 2;HS - Turbine mask type 2;HS - 涡轮面罩类型 2
элементы вращения;Elements of rotatio;旋转的要素
элементы поступательного движения;Elements of translational motion;平移运动的要素
механические источники;Mechanical sources;机械源
механические датчики;Mechanical sensor;机械传感器
электромеханические преобразователи;Electromechanical transducers;机电换能器
механизмы;Mechanisms;机制
редукторы;Reducers;减速机
муфты и соединения;Couplings and couplings;联轴器和联轴器
тормоза и фиксаторы;Brakes and clamp;制动器和夹具
баллистика ка - векторное произведение трехмерных векторов;Ballistics of the spacecraft - Vector product of three-dimensional vectors;航天器的弹道学 - 三维向量的向量积
баллистика ка - матрица перехода по заданным углам эйлера;Ballistics of the spacecraft - Transition matrix for given Euler angles;航天器的弹道学 - 给定欧拉角的转移矩阵
баллистика ка - норма трехмерного вектора;Ballistics of the spacecraft - The norm of a three-dimensional vector;航天器的弹道学 - 三维矢量的范数
баллистика ка - переход от кватерниона к углам эйлера;Ballistics of the spacecraft - The transition from the quaternion to the corners of Euler;航天器的弹道学 - 从四元数到欧拉角的过渡
баллистика ка - переход от кватерниона к матрице перехода;Ballistics of the spacecraft - Transition from the quaternion to the transition matri;航天器的弹道学 - 从四元数到过渡矩阵的过渡
