Источники   ;   Sources   ;   来源
Гармонический анализатор   ;   Harmonic analyzer   ;   谐波分析仪
Линейная функция   ;   Linear function   ;   线性函数
Параболическая функция   ;   The parabolic function   ;   抛物线函数
Полиноминальная функция   ;   The polynomial function   ;   多项式函数
Синусоидальная функция   ;   Sinusoidal function   ;   正弦函数
Экспоненциальная функция   ;   Exponential function   ;   指数函数
Гиперболическая функция   ;   Hyperbolic function   ;   双曲函数
Арксинус   ;   Arcsyns   ;   弧同步器
Арккосинус   ;   Arccosine   ;   反余弦
Арктангенс   ;   Arctangent   ;   反正切
Арккотангенс   ;   Arccotangens   ;   阿尔克唐根斯
Гиперболический синус   ;   Hyperbolic sine   ;   双曲正弦
Гиперболический косинус   ;   Hyperbolic cosine   ;   双曲余弦
Гиперболический тангенс   ;   Hyperbolic tangent   ;   双曲正切
Гиперболический котангенс   ;   Hyperbolic cotangent   ;   双曲余切
Степенная функция   ;   Power function   ;   幂函数
Показательная функция   ;   Exponential function   ;   指数函数
Показательная функция с переменной амплитудой   ;   Exponential function with variable amplitude   ;   可变幅度的指数函数
Логарифм натуральный   ;   Logarithmic natural   ;   对数自然
Логарифм десятичный   ;   The logarithm of a decimal   ;   小数的对数
Логарифм натуральный с защитой 0   ;   Logarithmic natural with protection 0   ;   对数自然带保护0
Логарифм десятичный с защитой 0   ;   Logarithm of decimal with protection 0   ;   带保护 0 的小数对数
Корень квадратный   ;   Square root   ;   平方根
Арктангенс от двух аргументов   ;   Arctangent from two arguments   ;   两个参数的反正切
Синус с косинусом   ;   Sine with cosine   ;   正弦与余弦
Линейное с насыщением   ;   Linear with saturation   ;   与饱和呈线性关系
Линейное с зоной нечувствительности   ;   Linear with dead band0   ;   带死区的线性0
Линейное с насыщением и зоной нечувствительности   ;   Linear with saturation and deadband   ;   与饱和度和死区呈线性关系
Релейное неоднозначное (гистерезис)   ;   Relay ambiguous (hysteresis)   ;   继电器不明确（迟滞）
Релейное c зоной нечувствительности   ;   Relay with dead band   ;   带死区的继电器
Производная с ограничением   ;   Derivative with restriction   ;   有限制的导数
Нижний или верхний предел   ;   Lower or upper limit   ;   下限或上限
Минимум по входам   ;   Minimum of entrances   ;   最少入口数量
Минимум по всем элементам вектора   ;   The minimum for all elements of the vector   ;   向量所有元素的最小值
Излом   ;   Fracture   ;   断裂
Зазор   ;   Gap   ;   差距
Люфт   ;   Luft   ;   空气
Квантователь по уровню   ;   Quantizer by level   ;   按级别量化
Импульсная функция   ;   Pulse function   ;   脉冲功能
Запоминание значения сигналов   ;   Memorizing Signal Values   ;   记住信号值
Запоминание длительности истинного сигнала   ;   Storing the duration of a true signal   ;   存储真实信号的持续时间
Ограничитель   ;   Limiter   ;   限制器
Задержка на шаг интегрирования   ;   Delay on the integration step   ;   集成步骤延迟
Релейное с переменными ЗН и ЗВ   ;   Relay with variables ZN and ZV   ;   具有变量 ZN 和 ZV 的继电器
Релейное плюс с переменными ЗН и ЗВ   ;   Relay Plus with ZN and ZV Variables   ;   具有 ZN 和 ZV 变量的 Relay Plus
Релейное минус с переменными ЗН и ЗВ   ;   Relay minus with variables ZN and ZV   ;   带变量 ZN 和 ZV 的负继电器
Сигнал больше уставки   ;   Signal greater than setpoint   ;   信号大于设定值
Сигнал меньше уставки   ;   Signal less than setpoint   ;   信号小于设定值
Уточнение разрыва   ;   Clarifying the gap   ;   澄清差距
ПОР ИКП (порог срабатывания)   ;   POR ICP (Threshold)   ;   POR ICP（阈值）
НОР ИКП   ;   NOR ICP   ;   北ICP
Гистерезис входного сигнала   ;   Input hysteresis   ;   输入迟滞
Мертвая зона (изменяемая)   ;   Dead zone (variable)   ;   死区（可变）
ФЗН (формирование зоны нечувствительности)   ;   FZN (formation of the dead zone)   ;   FZN（死区的形成）
Импульсное открытие/закрытие   ;   Pulse opening / closing   ;   脉冲开/关
Запоминание сигнала   ;   Signal Memorization   ;   信号记忆
Линейное с переменным ограничением   ;   Linear with variable constraint   ;   具有变量约束的线性
Ломаная статическая характеристика   ;   Linear interpolation   ;   线性插补
Многомерная интерполяция   ;   Multidimensional interpolation   ;   多维插值
Из таблицы   ;   From the table   ;   从表中
Двумерная таблица из файла   ;   Two-dimensional table from a file   ;   文件中的二维表
МНК-аппроксимация   ;   OLS Approximation   ;   最小二乘法近似
Язык программирования   ;   Programming language   ;   编程语言
Интегратор   ;   Integrator   ;   积分器
Инерционное звено 1-го порядка   ;   Inertial link of the 1st order   ;   一阶惯性连杆
Переменные состояния   ;   State variables   ;   状态变量
Колебательное звено   ;   Vibrational link   ;   振动连杆
Идеальное транспортное запаздывание   ;   Ideal transport lag   ;   理想的传输延迟
Передаточная функция общего вида   ;   A general transfer function   ;   一般传递函数
Инерционно-дифференцирующее звено   ;   Inertial-differentiating link   ;   惯性微分连杆
Производная   ;   Derivative   ;   衍生物
Инерционно-форсирующее звено   ;   Inertia-boosting link   ;   惯性增强连杆
Инерционно-интегрирующее звено   ;   Inertial-integrating link   ;   惯性积分连杆
Функционал квадратичный   ;   Functional quadratic   ;   函数二次
Интегратор с ограничением   ;   Integrator with restriction   ;   有限制的积分器
Интегратор с изменяемыми н.у   ;   Integrator with variable nos.(   ;   变量数量积分器（
Интегратор с ограничением и сбросом н.у   ;   Integrator with restriction and reset   ;   具有限制和复位功能的积分器
Круговой интегратор   ;   Circular integrator   ;   循环积分器
Переменное транспортное запаздывание   ;   Variable transport delay(   ;   可变传输延迟（
Аналитическая апериодика 1-го порядка(   ;   Analytical aperiodics of the first order   ;   一阶解析非周期性
Дискретная апериодика 1-го порядка   ;   Discrete aperiodics of the first order   ;   一阶离散非周期性
Интегратор на усилителях   ;   The amplifier integrator   ;   放大器积分器
ДИФ-производная   ;   DIF-Derivative   ;   DIF-导数
Фильтрация сигнала   ;   Signal filtering   ;   信号过滤
Кнопка   ;   Button   ;   按钮
Ключ ручной управляемый   ;   Hand operated key   ;   手动钥匙
Ключ ручной перекидной   ;   Manual override key   ;   手动超控键
Ключ-0   ;   Key-0   ;   键-0
Ключ-1   ;   Key-1   ;   钥匙1
Ключ-2   ;   Key-2   ;   钥匙2
Ключ-3   ;   Key-3   ;   钥匙3
Ключ-4(t)   ;   Key-4 (t)   ;   Key-4（t）
Ключ-5(t)   ;   Key-5 (t)   ;   Key-5（t）
Ключ-6(t)   ;   Key-6 (t)   ;   Key-6（t）
Ключ-7(t)   ;   Key-7 (t)   ;   Key-7（t）
Ключ управляемый нормально разомкнутый тип 1   ;   Key operated normally open type 1   ;   钥匙操作常开型 1
Ключ управляемый нормально разомкнутый тип 2   ;   Key operated normally open type 2   ;   钥匙操作常开型 2
Ключ управляемый нормально замкнутый тип 1   ;   Key operated normally closed type 1   ;   钥匙操作常闭型 1
Ключ управляемый нормально замкнутый тип 2   ;   Key operated normally closed type 2   ;   钥匙操作常闭型 2
Ключ управляемый нормально разомкнутый тип 3   ;   Key operated normally open type 3   ;   钥匙操作常开型 3
Ключ управляемый нормально разомкнутый тип 4   ;   Key operated normally open type 4   ;   钥匙操作常开型 4
Ключ управляемый нормально замкнутый тип 3   ;   Key operated normally closed type 3   ;   钥匙操作常闭型 3
Ключ управляемый нормально замкнутый тип 4   ;   Key operated normally closed type 4   ;   钥匙操作常闭型 4
Ключ управляемый перекидной по входам тип 2   ;   Key operated by a changeover type 2   ;   由 2 型转换开关操作的钥匙
Ключ управляемый перекидной по входам тип 1   ;   Key operated by a changeover type 1   ;   由转换类型 1 操作的钥匙
Ключ интегратора   ;   Integrator's key   ;   积分器的钥匙
Коммутатор входных сигналов   ;   Switch input signals   ;   开关量输入信号
Запись по условию   ;   Recording by condition   ;   按条件记录
Выделение минимума с формированием признака5   ;   Isolation of the minimum with the formation of a sign   ;   通过形成符号来隔离最小值
Выделение максимума с формированием признака)   ;   Highlighting with the formation of a sign   ;   通过形成标志来突出显示
Задатчик с варьируемым значением   ;   The ramp-function generator with variable value   ;   可变值斜坡函数发生器
Оператор И   ;   The AND operator   ;   AND 运算符
Оператор ИЛИ   ;   The OR operator   ;   或运算符
Оператор НЕ   ;   The NOT operator   ;   NOT 运算符
Логические операции   ;   Logical operations   ;   逻辑运算
Операция БОЛЬШЕ   ;   Operation MORE   ;   运营更多
Операция МЕНЬШЕ   ;   Operation LESS   ;   少操作
Операция РАВНО   ;   Operation EQUAL   ;   等于运算
Операция НЕ РАВНО   ;   The operation is NOT EQUAL   ;   运算不等于
БОЛЬШЕ ИЛИ РАВНО   ;   MORE OR EQUAL   ;   多或等于
МЕНЬШЕ ИЛИ РАВНО   ;   LESS OR EQUAL   ;   小于或等于
M из N   ;   M of N   ;   N 中的 M
M из N поэлементное   ;   M of N element-wise   ;   N 个元素中的 M
Один из многих   ;   One of many   ;   许多之一
Один из многих по выбору   ;   One of many by choice   ;   众多选择之一
Счётчик   ;   Counter   ;   柜台
Векторное И   ;   Vector And   ;   矢量和
Векторное ИЛИ   ;   Vector OR   ;   向量或
Логическое И с пассивным входом   ;   Logical AND with passive input   ;   带被动输入的逻辑与
Целочисленные операции   ;   Integer operations   ;   整数运算
Упаковка битов   ;   Packing bits   ;   填料位
Распаковка битов   ;   Unpacking bits   ;   拆包位
Побитовое целочисленное НЕ   ;   Bitwise integer NOT   ;   按位整数 NOT
RS-триггер с приоритетом по сбросу   ;   RS flip-flop with reset priority   ;   具有复位优先级的 RS 触发器
RS-триггер с приоритетом по установке   ;   RS-flip-flop with priority on installation   ;   RS触发器优先安装
Триггер T   ;   Trigger T   ;   触发T
Триггер TR   ;   Trigger TR   ;   触发TR
Триггер TS   ;   Trigger TS   ;   触发TS
Определение первого события   ;   Definition of the first event   ;   第一个事件的定义
Задержка по включению   ;   Delay on inclusion   ;   延迟纳入
Задержка по включению и выключению   ;   Delay on power on and off   ;   延迟开机和关机
Задержка по выключению   ;   Delay on shutdown   ;   延迟关闭
Импульс по фронту   ;   Impulse along the front   ;   沿着前面的冲动
Импульс по срезу   ;   Impulse cut   ;   脉冲切割
Импульс по фронту или срезу   ;   Impulse along the front or cut   ;   沿着前面冲或切
Импульс   ;   Pulse   ;   脉冲
Импульс длительностью не более заданной   ;   Impulse of no more than a specified duration   ;   不超过指定持续时间的脉冲
Импульс с пролонгированием   ;   Impulse with prolongation   ;   脉冲与延长
Временное подтверждение   ;   Temporary confirmation   ;   暂时确认
Одновибратор   ;   Univibrator   ;   单振器
Карта состояний конечного автомата   ;   State machine map   ;   状态机图
Состояние автомата   ;   Machine state   ;   机器状态
Вход состояния   ;   State input   ;   状态输入
Выход состояния   ;   Status output   ;   状态输出
Выдержка состояния   ;   State Exposure   ;   状态暴露
Переменная выдержка состояния   ;   Variable state retention   ;   可变状态保留
Обмотка реле   ;   Relay winding   ;   继电器绕组
Двухпозиционное реле (SET)   ;   Two-position relay (SET)   ;   两位继电器（SET）
Двухпозиционное реле (RESET)   ;   Two-position relay (RESET)   ;   两位继电器（复位）
Двухпозиционное реле (RS)   ;   Two-position relay (RS)   ;   两位继电器 (RS)
Замыкающий контакт реле   ;   Closing relay contact   ;   闭合继电器触点
Размыкающий контакт реле   ;   Relay contact   ;   继电器触点
Переключающий контакт реле   ;   Relay switching contact0   ;   继电器开关触点0
Замыкающий контакт реле с задержкой по замыканию   ;   Closing relay contact with delayed closing1   ;   闭合继电器触点并延迟闭合1
Замыкающий контакт реле с задержкой по размыканию   ;   Closing relay contact with delayed opening1   ;   关闭继电器触点并延迟打开 1
Размыкающий контакт реле с задержкой по замыканию   ;   Closing relay contact with delayed closing2   ;   关闭继电器触点并延迟关闭2
Размыкающий контакт реле с задержкой по размыканию   ;   Trip relay contact with opening delay   ;   带断开延迟的跳闸继电器触点
Внешний контакт реле   ;   External relay contact   ;   外部继电器触点
Внешний размыкающий контакт реле   ;   External relay contact   ;   外部继电器触点
Запаздывание на период квантования   ;   Delay for the quantization period   ;   量化周期延迟
Экстраполятор   ;   Extrapolator   ;   外推器
Дискретный интегратор   ;   Discrete Integrator   ;   离散积分器
Дискретная передаточная ф-я общего вида   ;   Discrete transfer function of general form   ;   一般形式的离散传递函数
Дискретная передаточная ф-я обратного аргумента2   ;   Discrete transfer function of the inverse argument   ;   逆参数的离散传递函数
Дискретные переменные состояния   ;   Discrete State Variables   ;   离散状态变量
Дискретная производная   ;   The Discrete Derivative   ;   离散导数
Разность нулевого порядка   ;   The difference of zero order   ;   零阶的区别
Дискретный ПИД-регулятор   ;   Discrete PID controller   ;   离散PID控制器
Дискретная передаточная функция от непрерывных коэффициентов9   ;   The discrete transfer function of continuous coefficients   ;   连续系数的离散传递函数
Среднее арифметическое   ;   Average   ;   平均的
Несмещённая оценка дисперсии   ;   Unbiased estimation of variance   ;   方差的无偏估计
Коэффициент эксцесса   ;   Kurtosis coefficient   ;   峭度系数
Фактор сплющиваемости   ;   Factor of flattening   ;   扁平化系数
Коэффициент корреляции   ;   Correlation coefficient   ;   相关系数
Гистограмма распределения   ;   Distribution histogram   ;   分布直方图
Спектральная плотность   ;   The spectral density   ;   谱密度
Взаимная спектральная плотность   ;   The mutual spectral density   ;   互谱密度
Функция взаимной корреляции   ;   Cross-correlation function   ;   互相关函数
Буфер последовательного ввода данных   ;   Serial Data Entry Buffer   ;   串行数据输入缓冲器
Буфер последовательного вывода данных   ;   Serial Output Buffer   ;   串行输出缓冲器
Быстрое преобразование Фурье   ;   Fast Fourier transform   ;   快速傅立叶变换
Обратное быстрое преобразование Фурье   ;   Inverse fast Fourier transform   ;   快速傅里叶逆变换
Фильтр FFT   ;   Filter FFT   ;   滤波器快速傅里叶变换
Модуль комплексной пары   ;   The complex pair module   ;   复杂对模块
Цифровой фильтр   ;   Digital filter   ;   数字滤波器
Цифровой биквадратный фильтр   ;   Digital biquad filter   ;   数字双二阶滤波器
Дискретно косинусное преобразование   ;   Discretely cosine transform   ;   离散余弦变换
Обратное дискретно-косинусное преобразование   ;   The inverse discrete cosine transform   ;   离散余弦逆变换
Дискретный фильтр Калмана   ;   The Kalman Discrete Filter   ;   卡尔曼离散滤波器
Точечная кинетика   ;   Point kinetics   ;   点动力学
Точечная кинетика (модель мгновенного скачка))   ;   Point kinetics (instantaneous jump model)   ;   点动力学（瞬时跳跃模型）
Остаточное энерговыделение (по ANSI)   ;   Residual energy release (according to ANSI)   ;   剩余能量释放（根据 ANSI）
Свойства воды и пара   ;   Properties of water and steam   ;   水和蒸汽的性质
Свойства воды и пара на линии насыщения4   ;   Properties of water and steam on the saturation line   ;   水和蒸汽在饱和线上的性质
Свойства воды : Ts = f(Ps)   ;   Water properties: Ts = f (Ps)   ;   水性质：Ts=f(Ps)
Свойства воды : Ps = f(Ts)   ;   Water properties: Ps = f (Ts)   ;   水性质：Ps=f(Ts)
Номер линейного уравнения   ;   The number of the linear equation   ;   线性方程的个数
Коэффициенты линейного уравнения   ;   Coefficients of the linear equation   ;   线性方程的系数
Результаты СЛАУ   ;   Results of SLAU   ;   SLAU结果
Настройки решателя системы уравнений   ;   Solver of the system of equations   ;   方程组求解器
Внешняя DLL   ;   External DLL   ;   外部DLL
Самогенерирующийся блок   ;   Self-generating unit   ;   自发电装置
Интеграция с РАСНАР   ;   Integration with RASNAR   ;   与 RASNAR 集成
Интеграция с TPP   ;   Integration with TPP   ;   与 TPP 整合
Интеграция с EULER   ;   Integration with EULER   ;   与欧拉集成
Интеграция с Universal Mechanism   ;   Integration with Universal Mechanism   ;   与通用机构集成
Интеграция с ThermoGTE   ;   Integration with ThermoGTE   ;   与 ThermoGTE 集成
Модель FMI   ;   Model FMI   ;   国际货币基金组织模型
IOSO оптимизатор   ;   IOSO optimizer   ;   IISO优化器
Импорт данных из файла обмена   ;   Importing data from an exchange file   ;   从交换文件导入数据
Экспорт данных в файл обмена   ;   Exporting data to an exchange file   ;   将数据导出到交换文件
Экспорт ненулевых данных в файл обмена   ;   Exporting non-zero data to an exchange file   ;   将非零数据导出到交换文件
Сервер TCP-IP   ;   TCP-IP Server   ;   TCP-IP服务器
Клиент TCP-IP   ;   TCP-IP client   ;   TCP-IP客户端
Сервер UDP   ;   UDP Server   ;   UDP服务器
Клиент UDP   ;   UDP Client   ;   UDP客户端
Удалённый прибор   ;   Remote device   ;   远程设备
Джойстик   ;   Joystick   ;   操纵杆
Клиент OPC   ;   OPC Client   ;   OPC客户端
RS - Асинхронный обмен   ;   RS - Asynchronous Exchange(   ;   RS - 异步交换（
Modbus Slave - Интерфейс к базе сигналов   ;   Modbus Slave - Interface to the signal base   ;   Modbus Slave - 信号基座接口
Узлы   ;   Nodes   ;   节点
Базовые элементы   ;   Basic Elements   ;   基本要素
Измерители и управляющие устройства   ;   Meters and control devices   ;   仪表和控制装置
Силовая электроника   ;   Power electronics   ;   电力电子
Трансформаторы   ;   Transformers   ;   变形金刚
Вращающиеся машины   ;   Rotating machines   ;   旋转机器
Преобразование координат   ;   Coordinate transformation   ;   坐标变换
Структуры   ;   Structures   ;   结构
Измерители и датчики   ;   Meters and sensors   ;   仪表和传感器
